Date,Region,total_streams
2017-01-18,us,61126580
2017-01-18,uy,555593
2017-01-19,ar,6523517
2017-01-19,at,805807
2017-01-19,au,7771290
2017-01-19,be,1153900
2017-01-19,bo,198693
2017-01-19,br,14754664
2017-01-19,ca,7424448
2017-01-19,ch,1090959
2017-01-19,cl,4875728
2017-01-19,co,2113914
2017-01-19,cr,873840
2017-01-19,cz,455920
2017-01-19,de,13118291
2017-01-19,dk,3975715
2017-01-19,do,356887
2017-01-19,ec,756652
2017-01-19,ee,66763
2017-01-19,es,8914084
2017-01-19,fi,3161884
2017-01-19,fr,6561699
2017-01-19,gb,18096693
2017-01-19,global,187959188
2017-01-19,gr,110340
2017-01-19,gt,386345
2017-01-19,hk,773628
2017-01-19,hn,206251
2017-01-19,hu,331413
2017-01-19,id,2683180
2017-01-19,ie,1545875
2017-01-19,is,118459
2017-01-19,it,4510416
2017-01-19,jp,409540
2017-01-19,lt,88976
2017-01-19,lu,13425
2017-01-19,lv,83142
2017-01-19,mx,14920558
2017-01-19,my,1601033
2017-01-19,nl,7973856
2017-01-19,no,4812645
2017-01-19,nz,2039393
2017-01-19,pa,300258
2017-01-19,pe,1999958
2017-01-19,ph,9080608
2017-01-19,pl,1826240
2017-01-19,pt,1150944
2017-01-19,py,362588
2017-01-19,se,8428869
2017-01-19,sg,2016079
2017-01-19,sk,66233
2017-01-19,sv,165786
2017-01-19,tr,1905536
2017-01-19,tw,1092907
2017-01-19,us,61443449
2017-01-19,uy,555877
2017-01-20,ar,6657787
2017-01-20,at,846358
2017-01-20,au,7628113
2017-01-20,be,1198486
2017-01-20,bo,208587
2017-01-20,br,15560915
2017-01-20,ca,7600619
2017-01-20,ch,1159029
2017-01-20,cl,5058490
2017-01-20,co,2184971
2017-01-20,cr,895023
2017-01-20,cz,479525
2017-01-20,de,14790759
2017-01-20,dk,4427519
2017-01-20,do,374625
2017-01-20,ec,766046
2017-01-20,ee,79316
2017-01-20,es,9473216
2017-01-20,fi,3564683
2017-01-20,fr,7306899
2017-01-20,gb,18997908
2017-01-20,global,193177664
2017-01-20,gr,119506
